name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Milano, Lombardia, Italia",11/01/2022,9.1,-4.8,0.7,9.1,-4.8,0.2,-3.3,77.2,0,0,0,,0,0,21.5,7.9,324,1022.6,0,9.5,69.4,6,3,10,2022-01-11T08:01:33,2022-01-11T17:01:09,0.29,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",12/01/2022,7.2,-3.9,0.7,7.1,-6,-0.2,-2.8,79.6,0.183,100,4.17,rain,0,0,9.4,8.9,353.3,1030.9,0,10,70.5,6.1,3,10,2022-01-12T08:01:08,2022-01-12T17:02:22,0.32,Rain,Clear conditions throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",13/01/2022,8.1,-4.9,1,8.1,-4.9,0.7,-2.4,80.7,0,0,0,,0,0,13,7.6,295.2,1036.4,0,9.6,72.8,6.3,3,10,2022-01-13T08:00:40,2022-01-13T17:03:36,0.35,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",14/01/2022,10.2,-2.9,2.4,10.2,-4.2,1.4,-2.2,73.9,0,0,0,,0,0,10.2,10.9,266.1,1031.2,0,9.9,75.7,6.4,3,10,2022-01-14T08:00:10,2022-01-14T17:04:51,0.38,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",15/01/2022,11.2,-1.9,2.9,11.2,-3.9,2.7,-1.4,75.6,0.183,100,4.17,rain,0,0,13,7.4,19.6,1024.4,0,10,75.9,6.5,3,10,2022-01-15T07:59:37,2022-01-15T17:06:08,0.42,Rain,Clear conditions throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",16/01/2022,11.1,-2.8,3.8,11.1,-4.8,3.2,0,78.4,0,0,0,,0,0,46.4,12.7,285,1023.8,0,9,71.2,6.1,3,10,2022-01-16T07:59:02,2022-01-16T17:07:25,0.45,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",17/01/2022,12.3,0.3,6.5,12.3,-2.7,5,-1.2,60.2,0,0,0,,0,0,46.4,21.2,262.9,1025,1.1,10,80.6,7,4,10,2022-01-17T07:58:24,2022-01-17T17:08:44,0.48,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",18/01/2022,11.1,-0.4,4.5,11.1,-2.2,3.9,1.2,80.4,0,0,0,,0,0,44.6,11,59.3,1031.1,9,7.2,68.2,5.9,3,10,2022-01-18T07:57:44,2022-01-18T17:10:03,0.5,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",19/01/2022,8.1,-1.9,2.9,7.3,-1.9,2.4,1.2,89.4,0,0,0,,0,0,14.8,9.4,266.1,1029.7,39.5,4.6,54.8,4.7,3,10,2022-01-19T07:57:02,2022-01-19T17:11:24,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",20/01/2022,7.1,1.3,4,6.2,-1.6,3.1,2.9,92.7,2.922,100,8.33,"rain,snow",0,0,50,9.6,239.4,1020.2,49.7,3,66.2,5.8,3,10,2022-01-20T07:56:17,2022-01-20T17:12:45,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",21/01/2022,4.2,-1.1,1.6,2.3,-1.9,0,0.7,93.5,0,0,0,,0,0,66.6,12.3,71.5,1023.1,33.9,1.8,38,3.3,1,10,2022-01-21T07:55:30,2022-01-21T17:14:07,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",22/01/2022,7.2,-0.2,2.2,5.5,-4.1,0.4,0.3,88.6,0.183,100,4.17,"rain,snow",0,0,24.1,14.2,259,1026.1,41.6,4.6,66.2,5.6,3,10,2022-01-22T07:54:40,2022-01-22T17:15:30,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",23/01/2022,6.3,-1,1.8,5.3,-4.2,0.6,-0.1,87.6,0,0,0,,0,0,24.1,10.9,58.9,1029.1,15,5.2,64.5,5.4,3,10,2022-01-23T07:53:49,2022-01-23T17:16:54,0.69,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,F5400,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",24/01/2022,1.9,-3.9,-0.5,1.9,-4.9,-1.6,-0.7,98.4,0.183,100,4.17,"rain,snow",0,0,14.8,10.5,46.2,1031.7,41.1,0.6,21.6,1.7,1,10,2022-01-24T07:52:55,2022-01-24T17:18:18,0.73,"Snow, Rain, Partially cloudy",Clearing in the afternoon with afternoon rain or snow.,rain,"16080099999,16076099999,D6875,F5400,16066099999,06771099999"
"Milano, Lombardia, Italia",25/01/2022,4.3,0.8,2.4,2,-1.6,0.3,1.5,94.4,0,0,0,,0,0,14.8,12.9,252.6,1032.9,65.4,3.5,33,2.6,1,10,2022-01-25T07:51:59,2022-01-25T17:19:43,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",26/01/2022,4,0.1,1.9,2.9,-2.8,0.4,1.3,96.2,0,0,0,,0,0,18.8,8.9,240.7,1028.1,81.9,2.6,25.7,2.1,1,10,2022-01-26T07:51:01,2022-01-26T17:21:08,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",27/01/2022,2.3,-0.1,0.9,2.1,-2.5,-0.5,0.8,99.5,0,0,0,,0,0,11.2,7.3,225.2,1026.1,58.8,0.7,18.6,1.7,1,10,2022-01-27T07:50:00,2022-01-27T17:22:34,0.83,Partially cloudy,Partly cloudy throughout the day.,fog,"16080099999,16076099999,D6875,16066099999,06771099999"
"Milano, Lombardia, Italia",28/01/2022,15.6,-1.1,4.4,15.6,-4.8,2.5,-0.6,75.7,0,0,0,,0,0,64.8,31.5,344.7,1025.4,11.6,7.4,41.8,3.5,2,10,2022-01-28T07:48:58,2022-01-28T17:24:00,0.87,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",29/01/2022,11,-2.8,3.3,11,-4,2.8,-1.2,74.8,0.183,100,4.17,rain,0,0,29.5,9.1,253.6,1028.1,0,9.5,33.3,2.9,2,10,2022-01-29T07:47:54,2022-01-29T17:25:27,0.9,Rain,Clear conditions throughout the day with afternoon rain.,rain,"16080099999,16076099999,D6875,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",30/01/2022,16.1,2.6,8.9,16.1,0.1,7.7,1.4,60.5,0,0,0,,0,0,20.5,19.7,293.4,1018.6,0,9.9,36.7,3.2,3,10,2022-01-30T07:46:48,2022-01-30T17:26:54,0.94,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",31/01/2022,13,0.9,5.8,13,-1.5,4.9,-1.1,67.1,0,0,0,,0,0,51.8,45.5,351.4,1010.8,8,7.5,39,3.3,2,10,2022-01-31T07:45:40,2022-01-31T17:28:21,0.97,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",01/02/2022,15.9,7.1,10.7,15.9,3.9,9.4,-7.6,28,0,0,0,,0,0,77.8,23.7,307.7,1012.5,0,10,34.4,2.9,3,10,2022-02-01T07:44:30,2022-02-01T17:29:48,0,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",02/02/2022,18.9,4.1,11.4,18.9,1.5,10.6,-1.8,41.7,0,0,0,,0,0,59.4,32.5,327.6,1012.2,0,10,37.7,3.1,2,10,2022-02-02T07:43:18,2022-02-02T17:31:16,0.04,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",03/02/2022,12.1,2.1,8,12.1,1.5,7.1,2.4,68.6,0.013,100,4.17,rain,0,0,36.9,16.4,91.2,1020.2,8.4,10,44.2,3.6,2,10,2022-02-03T07:42:04,2022-02-03T17:32:43,0.07,Rain,Clear conditions throughout the day with afternoon rain.,rain,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",04/02/2022,11.1,5.7,7.9,11.1,5.7,7.6,5.7,86.1,0,0,0,rain,0,0,13,9.3,151.1,1017.8,62.4,8.2,28.1,2.3,1,10,2022-02-04T07:40:49,2022-02-04T17:34:11,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",05/02/2022,8.3,0.2,3.9,8.3,0.2,3.6,3.6,97.8,0,0,0,,0,0,14.8,7.4,76.6,1019.4,25.5,0.9,29.8,2.5,1,10,2022-02-05T07:39:32,2022-02-05T17:35:39,0.14,Partially cloudy,Becoming cloudy in the afternoon.,fog,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",06/02/2022,8.2,-1,3.9,7,-1,2.9,3.2,95.3,0.183,100,4.17,"rain,snow",0,0,14,12.3,259.3,1020.4,41.9,1.6,22,1.9,1,10,2022-02-06T07:38:13,2022-02-06T17:37:07,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",07/02/2022,13,2,8.6,13,-1.3,7.8,-6.7,47.4,0.186,100,8.33,rain,0,0,74.2,55.3,353.5,1015.1,9.9,7.4,44.3,3.8,3,10,2022-02-07T07:36:53,2022-02-07T17:38:35,0.2,Rain,Clear conditions throughout the day with morning rain.,rain,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",08/02/2022,14.1,-1.9,5.9,14.1,-2.6,5.6,-7.3,41.8,0,0,0,,0,0,48.2,10.7,302.9,1028.9,0,10,46.4,4,3,10,2022-02-08T07:35:31,2022-02-08T17:40:03,0.25,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",09/02/2022,15,0.9,7.3,15,-1.5,6.8,1.5,67.4,0,0,0,,0,0,18.4,14.6,282.2,1030,0,10,45.6,3.8,2,10,2022-02-09T07:34:07,2022-02-09T17:41:30,0.27,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",10/02/2022,11.2,3.9,7.8,11.2,3.6,7.6,5.5,86,0,0,0,,0,0,20.5,7.5,288.9,1026.1,81.3,10,25.1,2.1,1,10,2022-02-10T07:32:42,2022-02-10T17:42:58,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",11/02/2022,14.1,7.7,10,14.1,5.6,9.6,3.5,68.4,0,0,0,rain,0,0,46.4,18.5,294.4,1023,47.8,9.4,38.5,3.3,2,10,2022-02-11T07:31:15,2022-02-11T17:44:26,0.33,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",12/02/2022,10.9,1,6,10.9,0.7,4.8,-1.5,60.8,0,0,0,,0,0,37.1,15.7,78,1030.4,26.7,9.9,58,4.9,3,10,2022-02-12T07:29:48,2022-02-12T17:45:53,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",13/02/2022,10,-1.1,3.8,9.6,-1.1,3.1,-2.8,64,0,0,0,,0,0,16.6,12.4,66.1,1026.2,0,10,55.7,4.7,3,10,2022-02-13T07:28:18,2022-02-13T17:47:20,0.39,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",14/02/2022,6,-0.1,3.3,6,-0.1,2.7,-0.2,78.3,0.623,100,25,rain,1.1,0.8,16.2,7.4,358.5,1018.5,74.9,9.2,26,2.3,1,10,2022-02-14T07:26:48,2022-02-14T17:48:48,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",15/02/2022,5.1,-0.8,2.6,5.1,-1.3,1.2,2,96.6,12.371,100,41.67,rain,1.3,3,13,10.6,262.5,1013.2,72.5,3.3,19.2,1.4,1,10,2022-02-15T07:25:16,2022-02-15T17:50:15,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",16/02/2022,9.2,-1.7,3.6,9.1,-1.7,2.8,2.6,93.8,0.007,100,4.17,rain,0,1.7,13,10.6,251,1016.5,33.1,2.6,46.2,4,2,10,2022-02-16T07:23:42,2022-02-16T17:51:41,0.5,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",17/02/2022,16.9,0,7.2,16.9,-0.6,6.8,4.3,83.9,0.183,100,4.17,"rain,snow",0,0.8,14.8,16.1,267.3,1012,0,6.3,64.6,5.7,3,10,2022-02-17T07:22:08,2022-02-17T17:53:08,0.53,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",18/02/2022,10,2,6.5,10,0.5,5.5,4.7,88.9,0.003,100,4.17,rain,0,0.1,23.4,12.4,87.4,1015.5,53,4.5,48.1,4.1,4,10,2022-02-18T07:20:32,2022-02-18T17:54:34,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16080099999,16076099999,D6875,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",19/02/2022,13.1,7.9,9.3,13.1,6.7,9,8.3,93.9,0.956,100,20.83,rain,0,0,16.6,9.4,234.1,1015.2,66.4,2.2,41.3,3.5,2,10,2022-02-19T07:18:56,2022-02-19T17:56:00,0.6,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",20/02/2022,15.9,5.7,9.7,15.9,4.7,9.5,6.9,84.4,0,0,0,,0,0,24.1,14.5,251,1017.6,27.7,5.9,69.7,6.1,4,10,2022-02-20T07:17:18,2022-02-20T17:57:26,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",21/02/2022,16.9,5.2,10.5,16.9,3.6,10.3,0.1,59.5,0,0,0,,0,0,72.4,36.3,333.5,1008.6,28.4,7,85.8,7.3,4,10,2022-02-21T07:15:39,2022-02-21T17:58:51,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",22/02/2022,18.9,5.9,12.3,18.9,4.9,11.6,-3.2,36.6,0,0,0,,0,0,51.8,24.8,327.8,1015.6,0,10,89.4,7.7,4,10,2022-02-22T07:13:59,2022-02-22T18:00:17,0.71,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",23/02/2022,15.2,1.9,9.2,15.2,1,8.8,-0.4,52.9,0,0,0,,0,0,18.4,9.3,76.2,1023.6,0,10,84.6,7.3,4,10,2022-02-23T07:12:18,2022-02-23T18:01:42,0.75,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",24/02/2022,14,3,8.1,14,3,8,1.9,66.6,0,0,0,,0,0,20.5,7.6,110.4,1022.3,11.3,10,71,6.3,3,10,2022-02-24T07:10:36,2022-02-24T18:03:06,0.78,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",25/02/2022,16.9,1,9,16.9,1,8.7,-2.8,54,0,0,0,,0,0,64.8,34.1,339.6,1017.8,10.1,9.8,82.9,7.1,4,10,2022-02-25T07:08:53,2022-02-25T18:04:31,0.81,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",26/02/2022,14,0.2,7.9,14,-1.2,6.7,-3.2,51.9,0,0,0,,0,0,51.3,18.4,139.4,1024.6,0.3,10,89.5,7.5,4,10,2022-02-26T07:07:10,2022-02-26T18:05:55,0.85,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",27/02/2022,11.9,-1.1,5.5,11.9,-3.1,4.7,-3.7,55,0,0,0,,0,0,27.7,9.4,145.6,1026.5,0,10,94.3,8.2,4,10,2022-02-27T07:05:25,2022-02-27T18:07:19,0.88,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",28/02/2022,12.1,-2,5.7,12.1,-2,5,-4,53.9,0,0,0,,0,0,33.5,21.3,140.4,1025.6,1.2,10,91.2,7.9,4,10,2022-02-28T07:03:40,2022-02-28T18:08:42,0.92,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",01/03/2022,10.9,2.7,6.2,10.9,0.3,4.6,-4.9,46.7,0,0,0,,0,0,40.7,23.7,97.7,1029.5,44.2,10,95.9,8.1,4,10,2022-03-01T07:01:54,2022-03-01T18:10:05,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",02/03/2022,12,-2,5.2,12,-2,4.8,-2.9,59.4,0,0,0,,0,0,16.6,11,253.4,1023,2.6,10,98.8,8.4,4,10,2022-03-02T07:00:07,2022-03-02T18:11:28,0,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999,LIML"
"Milano, Lombardia, Italia",03/03/2022,14,1.9,8.3,14,1.9,8,1.1,62.2,0,0,0,,0,0,25.9,9.3,240.1,1015.7,0,10,95.9,8.2,4,10,2022-03-03T06:58:20,2022-03-03T18:12:51,0.02,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",04/03/2022,12,2.9,7.6,12,2.9,6.7,1,64.3,0,0,0,rain,0,0,20.5,14.5,94,1013.6,33.1,8.8,89.2,7.7,4,10,2022-03-04T06:56:31,2022-03-04T18:14:13,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",05/03/2022,9,3,6,9,0.9,4.1,-2.7,54.5,0,0,0,,0,0,25.9,17.9,97.8,1016.5,32.8,10,99.4,8.5,4,10,2022-03-05T06:54:43,2022-03-05T18:15:36,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,F5400,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",06/03/2022,9,1.1,4.6,8.4,-0.8,3.5,-4.5,53.1,0,0,0,,0,0,22.3,11,125.1,1017.1,34,10,94.8,8.2,4,10,2022-03-06T06:52:53,2022-03-06T18:16:57,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,F5400,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",07/03/2022,10,-1.2,4.3,10,-2.1,3.8,-3.6,58.7,0,0,0,,0,0,18.4,10.6,71.7,1017.7,1.6,10,103.5,8.7,4,10,2022-03-07T06:51:04,2022-03-07T18:18:19,0.15,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D4561,AV128,16066099999,06771099999,LIML"
"Milano, Lombardia, Italia",08/03/2022,8,-0.1,4.5,8,-0.8,2.6,-3.9,55.9,0,0,0,,0,0,20.5,14.4,87.9,1022.2,31,10,58.5,5.1,3,10,2022-03-08T06:49:13,2022-03-08T18:19:40,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",09/03/2022,13,-3,4.4,13,-3,4.2,-3.3,61.1,0,0,0,,0,0,18.4,12.5,246.5,1023.3,0,9.8,107.8,9.3,4,10,2022-03-09T06:47:22,2022-03-09T18:21:01,0.22,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,AV128,16066099999,06771099999"
"Milano, Lombardia, Italia",10/03/2022,15,-1.1,6.6,15,-1.1,6.6,-0.5,63.5,0,0,0,,0,0,20.5,9.1,268.9,1024.2,0,9.9,107.8,9.3,4,10,2022-03-10T06:45:31,2022-03-10T18:22:22,0.25,Clear,Clear conditions throughout the day.,clear-day,"16080099999,16076099999,D6875,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",11/03/2022,10.9,1.8,7.6,10.9,-1.4,6,0.2,60.2,0,0,0,,0,0,33.5,21.6,92.1,1026,62.3,9.9,92.4,8,4,10,2022-03-11T06:43:39,2022-03-11T18:23:43,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",12/03/2022,9.9,2.8,6.7,8.6,1.4,4.9,-1.8,55.7,0,0,0,,0,0,22.3,17.5,89.2,1027.3,75.7,10,86.2,7.6,4,10,2022-03-12T06:41:47,2022-03-12T18:25:03,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,AV128,16066099999,06777099999,06771099999"
"Milano, Lombardia, Italia",13/03/2022,10.9,0.9,6.3,10.9,-0.8,5.4,-3.9,49.3,0,0,0,,0,0,22.3,11,91.6,1026.4,24.4,10,115.2,10,4,10,2022-03-13T06:39:55,2022-03-13T18:26:23,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16080099999,16076099999,D6875,AV128,16066099999,06771099999"
